"509 Maplehurst Avenue Oakville, ON",West Oakville,1450000
"#7 - 4025 BRANDON GATE DR Mississauga, ON",Malton,97000
"103 - 685 RICHMOND Street London, ON",Central London,139000
"4 CEDAR Street West Lindsay, ON",Lindsay,124900
"978 PAPE AVE Toronto, ON",Old East York,99000
"161 Concord Ave Toronto, ON",Dufferin Grove,1079000
"14 DANESBURY AVE Toronto, ON",Briar Hill,549000
"1559 Landel Drive Ottawa, ON",Kanata,795000
"241 PASEO PRIVATE Ottawa, ON",Centrepointe,284900
"1246 BLACK LAKE NORTH SHORE ROAD Perth, ON",Perth,384900
"5410 SHELDON PARK Drive Burlington, ON",Burlington,1549000
"2346 Hixon St Oakville, ON",Bronte,1495000
"#2C08 - 7215 Goreway Dr Mississauga, ON",Malton,119900
"645 LANSDOWNE Street Peterborough, ON",Peterborough,235000
"93 KATHERINE Street Collingwood, ON",Collingwood,259900
"370 highland Road Kitchener, ON",Victoria Hills,95000
"1530 ROGER STEVENS DRIVE Kars, ON",Osgoode,450000
"275 Riverside Dr Toronto, ON",Swansea,4995000
"2141 Galena Crescent Oakville, ON",Oakville,948000
"3 Bracebridge Ave Toronto, ON",Old East York,599900
"337 Quarry Pond Crt Kingston, ON",Kingston,329900
"107 LURGAN Lane Point Clark, ON",Goderich,258000
"482 NANCY STREET Pembroke, ON",Pembroke,224500
"1458 Dundas Crescent Mississauga, ON",Mississauga,999999
"326 LESTER Street Waterloo, ON",Waterloo,1300000
"9 340 Henry Street Brantford, ON",Brantford,234999
"75 Queen St Orillia, ON",Orillia,449000
"3535 ST. JOSEPH BOULEVARD UNIT#58 Ottawa, ON",Industrial Park,159900
"#2705 - 1 KING ST W Toronto, ON",Toronto,259900
"472 BRIDGE Windsor, ON",University,112000
"0 MILL Street Greater Napanee, ON",Napanee,20000
"191 BARKER Street London, ON",Carling,179900
"#2 - 425 Admiral Blvd Mississauga, ON",Mississauga,5
"#3704 - 2045 LAKE SHORE BLVD W Toronto, ON",Mimico,999000
"#61 - 2350 GRAND RAVINE DR Oakville, ON",Oakville,489900
"2170 Heathcliff Crt Oakville, ON",Palermo West,1329000
"279 KENILWORTH Avenue North Hamilton, ON",Crown Point East,374999
"80 Colborne Street Brantford, ON",Brantford,399900
"857 Krosno Blvd Pickering, ON",Pickering,499649
"6349 DEERMEADOW DRIVE Ottawa, ON",Greely,899000
"17 MIRA COURT Ottawa, ON",Richmond,599900
"619 WICKENS AVE Burlington, ON",Aldershot,599900
"92 Arthur Street Guelph, ON",Guelph,625000
"232 DROUILLARD Windsor, ON",East Windsor,379500
"4190 County Road 45 . Hamilton Township, ON",Cobourg,839000
"E31 110 ACTIVA Avenue Kitchener, ON",Laurentian West,339900
"111 MANITOBA ST Whitchurch-Stouffville, ON",Stouffville,988000
"1695 TECUMSEH  W Windsor, ON",University,299900
"106 Sunnylea Crescent Guelph, ON",Waverley,479900
"#707 - 25 TOWN CENTRE CRT Toronto, ON",Bendale,284900
"268 STEWART STREET Ottawa, ON",Sandy Hill,799900
"105 Holitman Drive Ottawa, ON",New Barrhaven,338800
"1177 ALBANY ST London, ON",East London,169900
"#706 - 270 SPADINA AVE Toronto, ON",Toronto,449900
"105 The Queensway Road Toronto, ON",Swansea,329900
"4020 SLADEVIEW CRES Mississauga, ON",Erin Mills,184900
"1008 Remembrance Lane Wilberforce, ON",Wilberforce,499000
"85 GRENADIER WAY Ottawa, ON",New Barrhaven,315000
"1128 Kent Avenue Oakville, ON",Castle Green,939000
"415 Cider Mill Drive Waterloo, ON",Waterloo,511731
"120 SHELLEY Street MUNICIPALITY OF CHATSWORTH, ON",Chatsworth,259000
"1435 PERTH AV London, ON",Huron Heights,329900
"318 HORTON Street East London, ON",Central London,139900
"146 ALDERGROVE Place Kingston, ON",Cataraqui North,439900
"#815 - 39 QUEENS QUAY WAY E Toronto, ON",Toronto,1349000
"#Ph-15 - 7161 YONGE ST Markham, ON",Thornhill,620000
"1510 RICHMOND ST|Unit 205 London, ON",Masonville,194900
"#802 - 68 CANTERBURY PL Toronto, ON",Willowdale,468000
"16 BIRMINGHAM Street Hamilton, ON",Industrial Sector C,1499000
"1365 BLIND LINE Cobden, ON",Cobden,448800
"42 SCOOTER Lane Magnetawan, ON",Magnetawan,389900
"3 - 1015 UPPER GAGE Avenue Hamilton, ON",Berrisfield,192500
"27 RUTTAN ROAD Renfrew, ON",Renfrew,499900
"649 ESTATE PK Tecumseh, ON",Windsor,239900
"LOT 1 ROSANNA AVE Kingston, ON",Kingston,428000
"#2508 - 70 FOREST MANOR RD Toronto, ON",Henry Farm,498000
"PTS 13 , 16 &amp; 27 COON HOLLOW TRAIL Cobden, ON",Cobden,84000
"5785 Kennedy Road Mississauga, ON",Mississauga,150000
"200 Maplewood Rd Mississauga, ON",Mineola,2995000
"150 PARK Drive Wingham, ON",Wingham,349000
"64 VALRIDGE Drive Ancaster, ON",Ancaster,419900
"33 Kestrel Street Kitchener, ON",Bridgeport North,2449000
"195 Henry Street Brantford, ON",Brantford,18
"3115 Winston Churchill Boulevard Mississauga, ON",Erin Mills,65000
"147 Lost Forest Park Magnetawan, ON",Magnetawan,150000
"336 Bournemouth Dr London, ON",Argyle,214900
"2057 County Road 9 Other Greater Napanee, ON",Greater Napanee,259900
"#4 - 139 Guigues Street Ottawa, ON",Byward Market - Parliament Hill,349900
"7984 GROSSI Court Niagara Falls, ON",Niagara Falls,367000
"5 HAMPSHIRE Place Stoney Creek, ON",Hamilton,649500
"163 Huber Street Kitchener, ON",Centreville Chicopee,349900
"110 SCOUT STREET Ottawa, ON",Civic Hospital - Experimental Farm - Central Park,339900
"1706 - 363 COLBORNE Street London, ON",Central London,169900
"#302 - 2 HAVELOCK GATE Markham, ON",Markham,750000
"802 LONG POINT CIRCLE Ottawa, ON",Greenbelt,489900
"391 Main St Deseronto, ON",Deseronto,219900
"#2004 - 235 Sherway Gardens Rd Toronto, ON",Islington - City Centre West,399900
"964 Cookshire Crescent Ottawa, ON",Orléans,238900
"16 Litner Cres Georgina, ON",Keswick,559900
"#728 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,404900
"417 Running Brook Place Waterloo, ON",Waterloo,839900
"23 BEECHBANK Crescent London, ON",White Oaks,259900
"#2603 - 22 Olive Ave Toronto, ON",Willowdale,299900
"5021 Rundle Crt Mississauga, ON",East Credit,599900
"7 Father David Bauer Drive Waterloo, ON",Waterloo,2500
"8 CHESTNUT Avenue Hamilton, ON",Gibson,266000
"3 Acton Ave Toronto, ON",Bathurst Manor,999000
"173 -177 FIRST AVE Port McNicoll, ON",Port McNicoll,249900
"10868 LITTLE RIVER Windsor, ON",East Riverside,239900
"97 GLADSTONE AVE Toronto, ON",Little Portugal,1495000
"3345 Lakeshore Road Burlington, ON",Burlington,2588000
"33 STE MARIE Street Collingwood, ON",Collingwood,395000
"1320 THORNLEY ST London, ON",Byron,498060
"16 MELCHIOR CRES Markham, ON",Markham,1880000
"3560 SINGLETON AV|Unit 2 London, ON",Bostwick,329900
"#915 - 4185 Shipp Dr Mississauga, ON",Mississauga,199900
"390 SHOREVIEW Circle Windsor, ON",East Riverside,629000
"80 Republic Ave Hamilton, ON",Barnstown,599900
"110 BARRACH STREET E Smiths Falls, ON",Smiths Falls,179900
"20 SABRINA CRT Richmond Hill, ON",Richmond Hill,1700000
"1607 Spring Road Mississauga, ON",Clarkson,4288000
"1129 Henry Ford Windsor, ON",East Windsor,89900
"7 Adelaide St Kingston, ON",Kingston,335000
"1992 WATEROAK DR London, ON",Fox Hollow,469900
"#1505 - 125 Western Battery Rd Toronto, ON",Niagara,399900
"2290 MCLACHLIN ROAD Smiths Falls, ON",Smiths Falls,449000
"873 Front Rd Kingston, ON",Kingston,329900
"1168 Morning Glory Dr Gooderham, ON",Gooderham,165000
"0 COUNTY ROAD 1 &amp; STAMPVILLE ROAD Iroquois, ON",Iroquois,78888
"1064 MERCER Windsor, ON",South Central,20000
"#88 &amp;89 - 3550 RUTHERFORD RD Vaughan, ON",Woodbridge,156800
"145 ISLINGTON AVE Toronto, ON",New Toronto,799000
"44 ARTHUR Street Harriston, ON",Minto,399900
"#705 - 1195 Richmond Road Ottawa, ON",Woodroffe - Lincoln Heights,249900
"86 Prince Edward St Town Of Brighton, ON",Brighton,189000
"3000 Sandwich Windsor, ON",Sandwich,149000
"34 ELM STREET Smiths Falls, ON",Smiths Falls,158000
"#Ph18 - 3050 Ellesmere Rd Toronto, ON",Morningside,199000
"962 CAMPBELL Windsor, ON",University,140000
"1705 FIDDLEHEAD PL|Unit 206 London, ON",Sunningdale,629900
"2310 ST LAURENT BOULEVARD UNIT#315 Ottawa, ON",Industrial Park,360000
"81 LINTON AVE Ajax, ON",Ajax,799000
"1144 Main St Hamilton, ON",Westdale South,169000
"2014 VALLEYRUN BL|Unit 4 London, ON",Sunningdale,697000
"200 LAFONTAINE AVENUE UNIT#1001 Ottawa, ON",Vanier,239500
"3100 CARLING AVENUE UNIT#603 Ottawa, ON",Bayshore,205000
"49 SHERWAY DRIVE UNIT#5 Ottawa, ON",Barrhaven West - Old Barrhaven,174900
"16901 Hurontario St Caledon, ON",Caledon,2488888
"A - 105 DEVONSHIRE Avenue London, ON",Highland,299900
"281 HURON Street South Southampton, ON",Southampton,325000
"281 Crystal Bay Amherstburg, ON",Amherstburg,649900
"#1 - 3290 MIDLAND AVE Toronto, ON",Agincourt,129000
"1992 JASPER AVENUE Ottawa, ON",Ledbury - Heron Gate - Ridgemont - Elmwood,529000
"133 WILLARD ST Oakville, ON",Bronte,649990
"78 FAIRHILL AVE Brampton, ON",Brampton,709000
"155 BRIAN Avenue London, ON",Masonville,499900
"264 Lee Ave Toronto, ON",The Beach,2189000
"#712 - 51 LOWER SIMCOE ST N Toronto, ON",Entertainment District,589900
"82 FIRST Avenue Levack, ON",Sudbury,89900
"2498 BERNARD Windsor, ON",Fontainbleu,234500
"18 FLORENCE Street Hamilton, ON",Central Hamilton,429900
"628 Balmoral Dr Oshawa, ON",McLaughlin,429900
"108 MARLOW AVE Toronto, ON",Old East York,499000
"#1705 - 330 Rathburn Rd Mississauga, ON",Mississauga,424900
"#G - 1480 Heatherington Road Ottawa, ON",Ledbury - Heron Gate - Ridgemont - Elmwood,148000
"232 GLAD PARK AVE Whitchurch-Stouffville, ON",Whitchurch-Stouffville,609768
"2510 Bridle Rd Oshawa, ON",Windfields,779000
"338 Woodale Avenue Oakville, ON",West Oakville,1599000
"65 Columbia Street Waterloo, ON",Waterloo,738000
"1602 ** GERRARD ST Toronto, ON",Leslieville,1399000
"#310 - 777 STEELES AVE W Toronto, ON",Newtonbrook,395000
"7377 BLUE WATER CRESCENT Ottawa, ON",Greely,750000
"58 - 40 SUMMIT Avenue London, ON",West London,209500
"#9 - 393 Sidney St Belleville, ON",Belleville,12
"50-52 Grand Street Port Dover, ON",Port Dover,495000
"3459 Princess St Kingston, ON",Cataraqui Westbrook,600000
"3147 VELMAR DR Mississauga, ON",Erin Mills,989999
"54 Franklin Street Kitchener, ON",Stanley Park,325000
"803 - 389 DUNDAS Street London, ON",Central London,129900
"420 Thomas Slee Drive Kitchener, ON",Doon South,449900
"718 Newmarket Lane Kingston, ON",Rideau Heights,479000
"87 ROSEDALE Avenue Elk Lake, ON",Matachewan,139000
"208 - 699 ABERDEEN Boulevard Midland, ON",Midland,499900
"#141 - 601 SHORELINE DR Mississauga, ON",Cooksville,269990
"270 WILSON RD S Oshawa, ON",Central Oshawa,299900
"1097 FLORENCE ST London, ON",East London,139250
"#506 - 9 SPADINA AVE Toronto, ON",Entertainment District,318000
"858 UPPER JAMES Street Hamilton, ON",Yeoville,2995000
"15 FERN Avenue Waterdown, ON",Waterdown,579900
"429 Ouellette Windsor, ON",City Centre,1350000
"#9 - 9600 YONGE ST Richmond Hill, ON",Richmond Hill,602250
"2990 WILHAVEN DRIVE Ottawa, ON",Cumberland - Estates,1600000
"#2903 - 210 Victoria St Toronto, ON",Toronto,560000
"#2005 - 18 Hillcrest Ave Toronto, ON",Willowdale,495000
"19 CRANBERRY Collingwood, ON",Collingwood,325000
"687 Harrow Pl Kingston, ON",Bayridge East,249900
"764 KING RD Burlington, ON",Aldershot,719900
"17 HIGHVALLEY CIRC Brampton, ON",Valley Creek,1199000
"75 Riverside Windsor, ON",City Centre,189900
"757 Palace Rd Greater Napanee, ON",Napanee,349900
"4311 COUNTY  9 RD Greater Napanee, ON",Napanee,459900
"128 -130 PARK RD S Oshawa, ON",Vanier,575000
"2301 Parkhaven Boulevard Oakville, ON",Uptown Core,329900
"703 - 570 PROUDFOOT Lane London, ON",West London,154900
"175 Weber Street N Waterloo, ON",Waterloo,1050000
"578 FIRST Street London, ON",Argyle,239900
"#1202 - 9 BOGERT AVE Toronto, ON",Lansing,629000
"112 HARDWOOD LANE Perth, ON",Perth,299000
"#309 - 15 GREENVIEW AVE Toronto, ON",Newtonbrook,359900
"947 Adirondack Rd London, ON",Westmount,299900
"76 FRANCES Avenue Stoney Creek, ON",Stoney Creek,0
"13 - 4 BECK Boulevard Penetanguishene, ON",Penetanguishene,399900
"165 BARNESDALE AVE N Hamilton, ON",Stipley,269000
"#302 - 39 ONEIDA CRES Richmond Hill, ON",Bayview Glen,308000
"1394 Queen&#39;s Boulevard Kitchener, ON",Forest Hill,448500
"2023 DUNDAS STREET Cardinal, ON",Cardinal,399900
"147 Sonesta Circle Ottawa, ON",Stittsville,538900
"540 Third Line Oakville, ON",West Oakville,824900
"127 PRINCESS Street Peterborough, ON",Peterborough,187900
"1947 RIVER ROAD Ottawa, ON",Manotick,3500000
"207 Milliken Meadows Dr Markham, ON",Milliken,849900
"2153 CLEAVER Avenue Burlington, ON",Burlington,699900
"14 OXFORD ST Richmond Hill, ON",Richmond Hill,799000
"606 PRAIRIE STREET Ottawa, ON",Orléans,549900
"LOT 1 HOLLAND SYDENHAM TOWNLINE TOWNSHIP OF CHATSWORTH, ON",Chatsworth,99000
"8876 8TH CONCESSION RD Colchester, ON",Colchester,1200000
"46 PARKGLEN DRIVE Ottawa, ON",Crestview - Meadowlands,629900
"Lot 10 1067 Kerby Street Fort Erie, ON",Fort Erie,310000
"74 HUNTINGDALE BLVD Toronto, ON",Bridlewood,658000
"82 Centre St Oshawa, ON",O'Neill,125000
". Everett St Belleville, ON",Belleville,35000
"12059 County Rd 42 Tecumseh, ON",Tecumseh,15
"#207 - 55 Harrison Garden Blvd Toronto, ON",Willowdale,325000
"390 MAIN ST E Minto, ON",Palmerston,779000
"3828 COUNTY 8 ROAD Chesterville, ON",Chesterville,375000
"#1 - 140 Springhurst Avenue Ottawa, ON",Old Ottawa East,495900
"#12 &amp;13 - 40 Nugget Ave Toronto, ON",Toronto,224900
"897 GARTH Street Hamilton, ON",Buchanan,325000
"17 NEWFOUNDOUT ROAD Eganville, ON",Eganville,269900
"#4202 - 16 HARBOUR ST Toronto, ON",Toronto,1299000
"1157 Elmlea Drive Ottawa, ON",Beacon Hill South - Cardinal Heights,649900
"202 64 FREDERICK Drive Guelph, ON",Guelph,297026
"1305 - 380 PELISSIER Street Windsor, ON",City Centre,179900
"36 DRUMSO STREET Ottawa, ON",Greenboro East,89000
"2229 PINENEEDLE ROW Mississauga, ON",Mississauga,2599000
"#2311 - 352 FRONT ST W Toronto, ON",Toronto,412000
"938 THE QUEENSWAY AVE Toronto, ON",The Queensway,1499999
"#806 - 2 COVINGTON RD Toronto, ON",Englemount - Lawrence,448000
"47 TOWNLINE ROAD Chalk River, ON",Chalk River,145500
"0 Thibadeau Rd Bancroft, ON",Bancroft,25000
"30 ELLIS Crescent Lindsay, ON",Lindsay,439900
"439 Arthur Ave Port McNicoll, ON",Port McNicoll,22000
"352 MARBLE PL Newmarket, ON",Newmarket,799900
"54 DAPHNE CR Barrie, ON",Barrie,329900
"3609 QUEENSTON DR Mississauga, ON",Mississauga,639900
"260 Victoria St Tweed, ON",Tweed,219900
"3691 ALBION ROAD UNIT#58 Ottawa, ON",Blossom Park - Blossom Park West - Sawmill Creek/ Timbermill,199900
"593 Annette St Toronto, ON",Runnymede,949900
"5529 HIGHWAY 62 ROSSMORE, ON",Belleville,199900
"9 A KINTYRE AVE Toronto, ON",Riverside,1250000
"960 FLETCHER CIRCLE Ottawa, ON",Kanata,419000
"#303 - 12 York St Toronto, ON",Toronto,439000
"1 - 559 BAY Street Midland, ON",Midland,69900
"187 BALDWIN ST Toronto, ON",Toronto,290000
"#423 - 89 MCCAUL ST Toronto, ON",Grange Park,325000
"3419 Clanfield Cres Mississauga, ON",Mississauga,899000
"205327 HIGHWAY 26 WEST Meaford, ON",Meaford,239000
"41 HENDON AVE Toronto, ON",Newtonbrook,1690000
"35 Mountford Drive Guelph, ON",Grange Hill East,1600
"#1202 - 3390 Weston Rd Toronto, ON",Emery,99900
